hora,dia,mes,ano,estacion,dia_de_la_semana,asueto,temperatura,sensacion_termica,humedad,velocidad_del_viento,rentas_de_no_registrados,rentas_de_registrados,rentas_totales
0,1,1,2011,1,6,0,9.84,14.395,81,0,3,13,16
1,1,1,2011,1,6,0,9.02,13.635,80,0,8,32,40
2,1,1,2011,1,6,0,9.02,13.635,80,0,5,27,32
3,1,1,2011,1,6,0,9.84,14.395,75,0,3,10,13
4,1,1,2011,1,6,0,9.84,14.395,75,0,0,1,1
5,1,1,2011,1,6,0,9.84,12.88,75,6.0032,0,1,1
6,1,1,2011,1,6,0,9.02,13.635,80,0,2,0,2
7,1,1,2011,1,6,0,8.2,12.88,86,0,1,2,3
8,1,1,2011,1,6,0,9.84,14.395,75,0,1,7,8
9,1,1,2011,1,6,0,13.12,17.425,76,0,8,6,14
10,1,1,2011,1,6,0,15.58,19.695,76,16.9979,12,24,36
11,1,1,2011,1,6,0,14.76,16.665,81,19.0012,26,30,56
12,1,1,2011,1,6,0,17.22,21.21,77,19.0012,29,55,84
13,1,1,2011,1,6,0,18.86,22.725,72,19.9995,47,47,94
14,1,1,2011,1,6,0,18.86,22.725,72,19.0012,35,71,106
15,1,1,2011,1,6,0,18.04,21.97,77,19.9995,40,70,110
16,1,1,2011,1,6,0,17.22,21.21,82,19.9995,41,52,93
17,1,1,2011,1,6,0,18.04,21.97,82,19.0012,15,52,67
18,1,1,2011,1,6,0,17.22,21.21,88,16.9979,9,26,35
19,1,1,2011,1,6,0,17.22,21.21,88,16.9979,6,31,37
20,1,1,2011,1,6,0,16.4,20.455,87,16.9979,11,25,36
21,1,1,2011,1,6,0,16.4,20.455,87,12.998,3,31,34
22,1,1,2011,1,6,0,16.4,20.455,94,15.0013,11,17,28
23,1,1,2011,1,6,0,18.86,22.725,88,19.9995,15,24,39
0,2,1,2011,1,7,0,18.86,22.725,88,19.9995,4,13,17
1,2,1,2011,1,7,0,18.04,21.97,94,16.9979,1,16,17
2,2,1,2011,1,7,0,17.22,21.21,100,19.0012,1,8,9
3,2,1,2011,1,7,0,18.86,22.725,94,12.998,2,4,6
4,2,1,2011,1,7,0,18.86,22.725,94,12.998,2,1,3
6,2,1,2011,1,7,0,17.22,21.21,77,19.9995,0,2,2
7,2,1,2011,1,7,0,16.4,20.455,76,12.998,0,1,1
8,2,1,2011,1,7,0,16.4,20.455,71,15.0013,0,8,8
9,2,1,2011,1,7,0,15.58,19.695,76,15.0013,1,19,20
10,2,1,2011,1,7,0,14.76,17.425,81,15.0013,7,46,53
11,2,1,2011,1,7,0,14.76,16.665,71,16.9979,16,54,70
12,2,1,2011,1,7,0,14.76,16.665,66,19.9995,20,73,93
13,2,1,2011,1,7,0,14.76,17.425,66,8.9981,11,64,75
14,2,1,2011,1,7,0,14.76,17.425,76,12.998,4,55,59
15,2,1,2011,1,7,0,13.94,16.665,81,11.0014,19,55,74
16,2,1,2011,1,7,0,13.94,16.665,71,11.0014,9,67,76
17,2,1,2011,1,7,0,13.94,16.665,57,12.998,7,58,65
